Sample A,Sample B,U Statistic,p-value,Significant?
Diborane_7,Phosphine_2,8878.0,3.328400191474589e-11,✅
HCHO_1,HCHO_2,2759.5,3.658248849685922e-11,✅
Arsine_6,F2_7,2794.5,3.771770653467505e-11,✅
Phosphine_4,MH-4,8866.5,3.9425437368444465e-11,✅
Diborane_7,H2S_1,8856.5,4.565816360597613e-11,✅
Arsine_5,Control_1_2min,2811.5,4.841263585428529e-11,✅
Diborane_7,Phosgene_4,8850.0,5.0215387238979105e-11,✅
Arsine_2,Phosphine_7,8843.5,5.520220228586337e-11,✅
Control_1_2min,Phosphine_7,8842.5,5.602603386780493e-11,✅
Arsine_6,Diborane_2,2823.0,5.7243602539400115e-11,✅
Phosphine_4,Phosgene_6,8836.5,6.115169435473669e-11,✅
HCHO_2,MH-7,8760.0,6.265801521410127e-11,✅
Diborane_7,Phosgene_3,8830.0,6.721215602853432e-11,✅
Phosphine_4,Phosgene_2,8827.5,6.9699465046549e-11,✅
Diborane_7,H2S_6,8820.5,7.714408081439542e-11,✅
Arsine_6,SO2_2,2844.5,7.826153785410436e-11,✅
Diborane_7,H2S_4,8818.0,7.998599121004638e-11,✅
Diborane_3,SO2_6,8805.5,9.582444112292648e-11,✅
Phosphine_3,Phosphine_6,8801.0,1.0223732070281423e-10,✅
HCHO_4,Phosphine_5,2863.5,1.0295095184371647e-10,✅
Phosphine_3,MH-7,8798.0,1.0674190435884103e-10,✅
Diborane_3,HCN_1,8797.0,1.082920669375528e-10,✅
Phosphine_4,MH-3,8792.0,1.1635690977732377e-10,✅
Control_5_2min,Phosphine_4,2881.0,1.3237841362748915e-10,✅
Phosphine_4,SO2_1,8775.5,1.4736012307175062e-10,✅
Control_4_2min,Phosphine_4,2901.5,1.7733457249357544e-10,✅
Arsine_1,Phosphine_4,2902.0,1.7858852956791083e-10,✅
HCHO_4,Arsine_7,2902.5,1.7987121370125712e-10,✅
Diborane_3,HCN_2,8757.0,1.9175896214989112e-10,✅
Diborane_3,Phosphine_1,8752.5,2.0440803152110549e-10,✅
Arsine_3,Phosphine_5,2919.0,2.2721659221955637e-10,✅
Arsine_3,Arsine_7,2941.0,3.0982030755457846e-10,✅
Arsine_6,H2S_2,2946.0,3.322708290785754e-10,✅
Phosphine_4,MH-1,8708.5,3.796069588476858e-10,✅
HCHO_2,MH-6,8627.5,4.191009020838905e-10,✅
HCHO_2,Phosphine_6,8624.5,4.3711550501114643e-10,✅
Arsine_7,MH-7,8697.5,4.424924707429632e-10,✅
Phosphine_3,MH-6,8683.5,5.374288041896076e-10,✅
Arsine_2,Diborane_3,2982.0,5.486315874874709e-10,✅
Arsine_5,Phosphine_1,2983.5,5.602462249068109e-10,✅
HCHO_5,Arsine_6,8670.5,6.431805665622095e-10,✅
Phosphine_4,H2S_5,8670.5,6.432630061094716e-10,✅
HCHO_1,Arsine_7,2995.0,6.566668595116954e-10,✅
Phosphine_5,MH-7,8666.5,6.796172207859559e-10,✅
Diborane_7,HNO3_7,8665.0,6.938803341973012e-10,✅
Diborane_2,Diborane_3,2999.0,6.938803341973012e-10,✅
