Sample A,Sample B,U Statistic,p-value,Significant?
Ammonia_1,HF_7,5281.0,0.2306606028380208,❌
HCHO_6,MA_7,5281.0,0.23066074164585282,❌
SO2_6,HNO3_4,5281.0,0.23066115806896048,❌
Phosgene_2,MA_2,6383.0,0.23066143568404285,❌
H2S_5,HNO3_3,5281.0,0.23066171329886653,❌
Cl2_2,HF_2,6383.0,0.2306619909134321,❌
H2S_1,MH-2,6382.5,0.23108493606224656,❌
Arsine_7,HF_5,6382.5,0.2310853526495863,❌
HNO3_5,HNO3_7,6382.0,0.23150871126467887,❌
Phosgene_6,Hydrazine_1,6382.0,0.23150898909951578,❌
Diborane_1,HNO3_6,6382.0,0.2315096836854731,❌
DM_6,Hydrazine_6,6382.0,0.23150982260247,❌
Cl2_3,SO2_2,6382.0,0.23150996151940195,❌
HCHO_3,HCl_1,6381.5,0.23193456781685384,❌
Cl2_6,F2_1,6381.5,0.2319347067882721,❌
Phosphine_7,DM_2,6381.0,0.2323600052604068,❌
Diborane_7,Cl2_2,6381.0,0.23236042233695475,❌
Arsine_4,MA_6,6380.5,0.23278530083337845,❌
DM_4,NO2_6,5283.5,0.23278599623177976,❌
SO2_6,HCN_5,5284.0,0.23321198441242252,❌
DM_4,HNO3_5,5284.0,0.23321198441242252,❌
Phosgene_3,HF_6,6380.0,0.2332122626791363,❌
MA_6,SO2_3,5284.0,0.23321240181239533,❌
H2S_5,NO2_3,5284.0,0.23321268007871687,❌
Control_5_2min,HNO3_1,5284.5,0.2336385261209648,❌
H2S_1,F2_2,5284.5,0.23363922205548748,❌
MH-3,HF_2,5284.5,0.2336393612421953,❌
Control_1_2min,HF_7,6379.0,0.2340668747345066,❌
SO2_3,HF_4,6379.0,0.2340668747345066,❌
Diborane_1,TA_4,5285.5,0.23449536037969498,❌
H2S_7,HCN_4,5285.5,0.23449549967225525,❌
Arsine_2,HCl_1,6378.0,0.23492175325828457,❌
SO2_4,HCN_1,6378.0,0.23492398279085602,❌
HCHO_5,SO2_2,5286.0,0.23492412213608138,❌
Ammonia_4,HCl_2,5286.0,0.23492467951632368,❌
Phosphine_6,NO2_1,5286.5,0.23535371748760991,❌
HF_5,Hydrazine_4,6377.5,0.2353538568849739,❌
HCHO_2,F2_1,6319.5,0.23554320454248345,❌
Arsine_2,HCl_6,6377.0,0.2357814974074508,❌
TA_2,HCN_3,6376.5,0.23621220251944441,❌
F2_1,F2_7,5287.5,0.23621345803604044,❌
F2_2,HCN_4,6376.5,0.23621387654037873,❌
Ammonia_7,Hydrazine_7,6376.5,0.23621387654037873,❌
Diborane_3,Diborane_7,6376.5,0.23621415554293934,❌
HCHO_5,HCN_5,5288.0,0.2366445796893305,❌
MA_6,HCN_5,5288.0,0.236644719242323,❌
Cl2_4,HCN_6,6376.0,0.23664513790090103,❌
Phosgene_2,Phosgene_3,5288.5,0.23707555905104616,❌
HCHO_5,HCN_6,5288.5,0.23707639667728841,❌
NO2_5,HCN_6,5288.5,0.23707639667728841,❌
DM_7,MH-1,6375.5,0.2370765362814291,❌
Cl2_5,HF_3,6375.5,0.2370765362814291,❌
Diborane_2,HCN_1,6375.0,0.23750639555531394,❌
Control_3_2min,NO2_5,6375.0,0.2375070938354349,❌
MH-6,HF_4,5289.0,0.23750793176937857,❌
Phosgene_1,Ammonia_3,6375.0,0.23750807142480235,❌
MH-2,HF_2,5289.0,0.23750821108015974,❌
HCl_2,HNO3_2,6375.0,0.23750863004583056,❌
Cl2_3,HF_2,6375.0,0.23750863004583056,❌
MA_2,MH-7,6375.0,0.23750876970092072,❌
Ammonia_5,HF_3,5289.0,0.23750876970092072,❌
HCHO_2,HCl_3,6317.0,0.2377147373178674,❌
Arsine_4,Cl2_7,5289.5,0.23793988278234857,❌
Phosgene_3,Phosgene_5,6374.5,0.23794030190167548,❌
MH-1,Hydrazine_7,6374.5,0.2379405813142259,❌
H2S_7,Ammonia_3,6374.5,0.23794072102040087,❌
Control_7_2min,MA_1,6374.5,0.2379410004325503,❌
Arsine_3,HNO3_5,5290.0,0.2383695943657239,❌
Control_2_2min,H2S_2,6374.0,0.2383695943657239,❌
Phosphine_5,NO2_2,6374.0,0.23837350758314557,❌
MH-1,Hydrazine_5,6374.0,0.2383743461229043,❌
DM_3,NO2_1,5290.0,0.2383747653918793,❌
Diborane_2,H2S_1,6373.5,0.23880740951075952,❌
TA_1,Hydrazine_4,6373.5,0.23880796873813837,❌
NO2_5,MH-1,6373.5,0.23880810854481527,❌
Cl2_7,HF_2,6373.5,0.2388083881579678,❌
NO2_4,HNO3_4,6373.5,0.2388083881579678,❌
Diborane_1,MH-2,5291.0,0.23924102903489675,❌
HF_5,HNO3_7,6373.0,0.23924242760419978,❌
HCl_3,Hydrazine_6,6373.0,0.23924256746076,❌
HCl_1,Hydrazine_2,6373.0,0.23924270731725328,❌
MA_6,HCN_6,5291.0,0.23924270731725328,❌
Ammonia_2,HF_5,5291.0,0.23924284717367938,❌
Control_5_2min,SO2_6,6372.5,0.23967618424756187,❌
SO2_2,HCN_3,6372.5,0.23967632415434426,❌
TA_2,Cl2_2,5291.5,0.23967702368724564,❌
TA_5,Ammonia_7,6372.5,0.23967758331235423,❌
Diborane_1,MA_6,5292.0,0.24011245651831326,❌
MA_3,F2_2,5292.0,0.24011287638549006,❌
Diborane_2,HF_4,6371.5,0.24054746654435544,❌
NO2_6,Hydrazine_1,6371.5,0.24054830657581738,❌
DM_1,HF_5,5292.5,0.24054886659543961,❌
HCl_1,Cl2_4,5292.5,0.24054886659543961,❌
Ammonia_7,HNO3_6,6371.5,0.24054900660017597,❌
HCHO_2,Arsine_7,6313.5,0.24077704199050898,❌
Phosphine_5,HCl_1,6371.0,0.24098429380035646,❌
Diborane_4,TA_3,6371.0,0.24098471396261822,❌
Arsine_5,HNO3_2,5293.0,0.24098499407045426,❌
Cl2_3,SO2_5,6371.0,0.24098527417801907,❌
Ammonia_4,HCN_1,5293.5,0.24142195907931396,❌
HCl_6,Hydrazine_5,6370.5,0.24142265959109188,❌
H2S_6,HF_6,6370.0,0.2418573795350738,❌
MH-2,MH-5,6370.0,0.24185920150468498,❌
H2S_3,DM_3,6370.0,0.24186046286152807,❌
Phosgene_3,HCl_7,6369.5,0.24229798304271033,❌
F2_2,HF_7,6369.5,0.24229840363898492,❌
H2S_2,MA_1,6369.0,0.24273620118892314,❌
Phosgene_5,Hydrazine_1,6369.0,0.24273634143581735,❌
Control_4_2min,HNO3_1,5295.5,0.24317441616377722,❌
NO2_2,MH-2,6368.5,0.24317638028706112,❌
HCl_6,MH-7,6368.5,0.24317652058106853,❌
Phosgene_2,Hydrazine_1,6368.0,0.24361585545871145,❌
Phosgene_7,Ammonia_3,6368.0,0.24361599580017457,❌
Diborane_5,DM_2,6368.0,0.2436164168241527,❌
MA_3,Hydrazine_4,6368.0,0.2436164168241527,❌
Ammonia_1,HCl_3,5296.0,0.24361655716534159,❌
HCN_6,HNO3_5,6367.5,0.24405560833654194,❌
NO2_4,SO2_3,6367.5,0.24405673144489282,❌
HCHO_4,Ammonia_3,6367.0,0.24449437490092274,❌
DM_6,MH-5,6367.0,0.24449760492508643,❌
Phosphine_2,HF_4,6366.5,0.24493861600657085,❌
HCHO_1,H2S_5,5297.5,0.24493861600657085,❌
F2_1,HCN_1,6366.5,0.24493875648828445,❌
DM_7,SO2_5,5297.5,0.2449391779330118,❌
HCHO_7,Phosgene_2,6366.0,0.24538088868203123,❌
Control_7_2min,H2S_5,6366.0,0.24538131026522692,❌
DM_1,MA_6,5298.0,0.24538145079282048,❌
HCl_6,Cl2_7,5298.0,0.2453815913203451,❌
TA_6,Hydrazine_4,6366.0,0.24538173184780077,❌
Ammonia_5,Ammonia_6,5298.0,0.24538173184780077,❌
MA_5,HF_1,6365.0,0.2462678161124099,❌
H2S_2,HF_1,6364.5,0.24671036171673144,❌
Phosphine_7,MH-5,6364.5,0.24671078371079302,❌
MA_5,HNO3_3,6364.5,0.24671148703284096,❌
HCl_6,Cl2_3,5299.5,0.24671148703284096,❌
Cl2_5,HNO3_1,6364.0,0.24715515507678987,❌
HCN_7,HNO3_2,6364.0,0.24715529578639173,❌
HCl_7,HCN_1,5300.0,0.24715529578639173,❌
F2_1,HF_5,6364.0,0.2471555772053865,❌
Cl2_5,SO2_4,6364.0,0.24715571791477953,❌
HCHO_3,HF_7,6364.0,0.24715571791477953,❌
HCHO_6,Phosgene_2,6363.5,0.24759938290257133,❌
Control_4_2min,NO2_6,6363.5,0.24759952365729765,❌
F2_7,NO2_3,6363.5,0.24759994592105905,❌
Arsine_3,H2S_5,5301.0,0.24804332589369427,❌
Phosgene_5,HCN_4,5301.0,0.24804529708725687,❌
Phosgene_1,DM_3,6363.0,0.24804557868522037,❌
Diborane_1,DM_6,5301.0,0.24804571948409737,❌
DM_6,Hydrazine_3,6363.0,0.24804571948409737,❌
MA_4,Hydrazine_4,6362.5,0.24849177212619922,❌
Phosphine_7,NO2_2,5301.5,0.24849191296922712,❌
SO2_7,HF_7,6362.5,0.2484920538121851,❌
Control_7_2min,F2_1,5302.0,0.24893838553225545,❌
HCl_5,Hydrazine_6,6362.0,0.24893880819295555,❌
F2_3,NO2_6,6362.0,0.24893894907971537,❌
Cl2_7,NO2_7,6362.0,0.24893908996640535,❌
SO2_4,HF_4,6361.5,0.2493858417384176,❌
NO2_3,HF_1,6361.5,0.24938612359933343,❌
SO2_3,HCN_2,6361.0,0.24983259046380002,❌
Diborane_5,HCN_4,5303.0,0.24983301338669528,❌
Control_1_2min,Phosphine_1,5303.0,0.24983301338669528,❌
HCl_7,HCN_2,5303.0,0.24983315436085307,❌
H2S_5,MA_7,5303.0,0.24983357728290467,❌
HCHO_3,MA_5,5303.0,0.24983385923058732,❌
NO2_4,HF_5,6361.0,0.24983400020432323,❌
DM_3,NO2_7,5303.0,0.24983400020432323,❌
NO2_3,HF_6,6360.5,0.2502820151292976,❌
TA_5,F2_2,5303.5,0.2502821561462071,❌
Ammonia_3,Hydrazine_5,6360.0,0.2507304502784542,❌
Cl2_2,NO2_7,6360.0,0.250730873458075,❌
HF_2,HNO3_2,6360.0,0.250730873458075,❌
Control_4_2min,TA_2,5304.5,0.25117831797434786,❌
HCl_3,MH-6,6359.5,0.2511801523112672,❌
MA_4,SO2_5,5305.0,0.251629710586442,❌
DM_4,Ammonia_6,5305.0,0.25162985173126007,❌
Cl2_4,SO2_5,6359.0,0.25163013402068346,❌
H2S_1,Ammonia_4,6359.0,0.25163013402068346,❌
DM_7,MA_5,5305.0,0.2516302751652889,❌
Cl2_3,HCN_5,6359.0,0.2516302751652889,❌
Diborane_2,DM_6,6359.0,0.2516304163098234,❌
HCl_1,F2_6,5305.0,0.2516304163098234,❌
HCHO_5,Control_4_2min,5305.5,0.25207855988750605,❌
Phosphine_5,HCl_6,6358.5,0.25207968938670566,❌
Cl2_6,F2_5,6358.5,0.2520808188813637,❌
TA_5,F2_3,5305.5,0.2520809600678767,❌
DM_7,Hydrazine_4,6358.5,0.2520809600678767,❌
MA_7,TA_4,6358.0,0.25253178350069316,❌
Cl2_3,HCN_6,6358.0,0.2525320659571818,❌
Control_6_2min,HCN_4,6357.5,0.25298189763311474,❌
MA_7,TA_1,6357.5,0.25298288652495193,❌
TA_4,HCN_1,5307.0,0.2534351169268879,❌
Diborane_2,TA_3,6357.0,0.2534351169268879,❌
MA_4,HCl_4,5307.0,0.253435964792463,❌
Ammonia_5,HF_2,5307.0,0.2534361061031424,❌
Phosphine_2,F2_5,5307.5,0.2538880513083829,❌
F2_6,SO2_3,6356.5,0.2538884753638142,❌
Ammonia_4,NO2_2,5307.5,0.253888758067078,❌
Control_6_2min,NO2_5,6356.0,0.2543414071687182,❌
Diborane_4,Cl2_2,5308.0,0.254341831345833,❌
Diborane_7,HCl_2,6356.0,0.2543422555223034,❌
H2S_4,HF_6,6355.5,0.2547944773826738,❌
H2S_2,H2S_5,6355.5,0.25479490168190755,❌
TA_1,SO2_6,5308.5,0.2547954674132151,❌
Control_1_2min,HCl_5,6355.5,0.2547956088458626,❌
Cl2_1,F2_4,6355.5,0.2547956088458626,❌
DM_5,NO2_1,5308.5,0.2547960331433754,❌
HCl_1,HNO3_6,6355.0,0.255250515266906,❌
Phosgene_7,HCN_4,5309.5,0.25570513612343304,❌
TA_5,SO2_5,5310.0,0.25616060327421675,❌
MA_5,SO2_5,6354.0,0.2561608863776662,❌
DM_1,HCl_3,5310.0,0.25616116948082757,❌
Phosgene_3,F2_3,5310.5,0.2566164923411055,❌
F2_2,HF_5,6353.5,0.25661705870481755,❌
Diborane_6,NO2_7,6353.5,0.25661705870481755,❌
H2S_3,DM_5,6353.5,0.25661705870481755,❌
Control_5_2min,HNO3_4,5311.0,0.25707308662391715,❌
F2_1,HCN_4,6353.0,0.25707322825386947,❌
NO2_5,SO2_5,5311.0,0.2570736531432928,❌
DM_2,TA_3,5311.0,0.2570736531432928,❌
MA_3,F2_3,5311.0,0.2570739364025467,❌
Arsine_3,MH-4,6352.5,0.25752797801919003,❌
Ammonia_3,Hydrazine_7,6352.5,0.2575296780512897,❌
Phosphine_6,NO2_2,5311.5,0.25753123640488185,❌
HF_1,Hydrazine_5,6352.5,0.25753137807295556,❌
Phosphine_1,NO2_7,6352.5,0.25753137807295556,❌
NO2_7,MH-2,6352.0,0.25798910045607726,❌
Phosphine_6,DM_2,6352.0,0.2579892421624177,❌
HCHO_4,HNO3_5,5312.5,0.2584439850769097,❌
Arsine_4,H2S_4,6351.0,0.2589036856579101,❌
Phosphine_2,HNO3_1,5313.0,0.25890439457449665,❌
Control_1_2min,DM_7,6350.5,0.259365511142306,❌
Arsine_5,Ammonia_4,5313.5,0.2593662202400594,❌
HCHO_4,DM_3,6350.0,0.2598253490387491,❌
H2S_7,Hydrazine_1,6350.0,0.2598256327525783,❌
Phosphine_7,Ammonia_6,5314.0,0.25982577460938316,❌
HCl_7,HCN_3,5314.0,0.2598259164661151,❌
HCl_3,Hydrazine_3,6350.0,0.25982620017935965,❌
HF_1,Hydrazine_7,6350.0,0.25982620017935965,❌
Phosphine_7,HCl_2,5314.0,0.2598263420358724,❌
Phosgene_7,HCl_4,5314.0,0.2598263420358724,❌
HCl_6,Cl2_5,5314.0,0.2598264838923121,❌
HCN_4,HNO3_4,5314.5,0.2602863191631414,❌
Ammonia_5,NO2_5,5314.5,0.260286886737192,❌
H2S_5,TA_7,6349.0,0.2607475705205836,❌
Phosphine_2,NO2_5,6349.0,0.26074771245073225,❌
DM_1,TA_7,5315.0,0.26074771245073225,❌
H2S_1,F2_1,5315.0,0.2607478543808073,❌
HCl_6,F2_1,5315.0,0.2607482801705928,❌
Control_2_2min,TA_3,6348.5,0.2612078253352773,❌
Phosgene_7,MA_2,6348.5,0.2612096709030244,❌
SO2_3,SO2_6,6348.5,0.2612096709030244,❌
DM_7,F2_1,5315.5,0.2612096709030244,❌
Phosgene_6,HNO3_7,6348.5,0.26120995483542253,❌
HCl_1,Cl2_3,5315.5,0.26120995483542253,❌
HCHO_6,NO2_3,5316.0,0.2616717686566542,❌
Arsine_2,NO2_2,6347.5,0.2621330112612241,❌
Ammonia_5,HNO3_5,5316.5,0.26213528387410046,❌
HCN_2,HCN_6,5317.0,0.2625956709777174,❌
MA_5,HF_6,6347.0,0.26259851245683796,❌
H2S_1,HF_6,6347.0,0.26259879660312646,❌
HF_2,Hydrazine_1,6346.5,0.26306173812593525,❌
HCHO_3,HCl_6,6346.5,0.2630628749933537,❌
HCHO_7,HNO3_2,6346.0,0.2635270927553489,❌
DM_3,HCl_2,5318.0,0.2635278034700266,❌
Arsine_1,HF_1,6345.5,0.2639915918932839,❌
Arsine_4,Ammonia_6,6345.0,0.26445651455239283,❌
Control_7_2min,TA_1,6345.0,0.2644577944626708,❌
MA_6,MH-4,6345.0,0.26445850552133643,❌
HCHO_3,F2_7,5319.5,0.26492399446668513,❌
Phosphine_1,HNO3_5,6344.5,0.2649244212039751,❌
Phosphine_3,Cl2_6,5319.5,0.2649245634495895,❌
Control_6_2min,F2_4,5319.5,0.2649245634495895,❌
Phosphine_7,HF_3,5320.0,0.2653911875906456,❌
HCl_6,Hydrazine_7,6344.0,0.2653917567072944,❌
HCl_6,Cl2_2,5320.0,0.2653920412651718,❌
HCl_5,Cl2_4,5320.0,0.2653920412651718,❌
Cl2_5,NO2_7,6344.0,0.2653920412651718,❌
H2S_4,MA_1,6343.5,0.2658579511414174,❌
H2S_2,TA_1,6343.0,0.26632570801396593,❌
Control_1_2min,HF_5,6343.0,0.26632684678048923,❌
H2S_5,HNO3_7,6342.5,0.2667951705324354,❌
MA_6,Hydrazine_3,6342.5,0.26679531291075764,❌
Control_5_2min,Ammonia_6,6342.0,0.26726406103060674,❌
Diborane_5,Phosgene_3,5322.0,0.26726448826298477,❌
Phosgene_1,MA_2,6342.0,0.26726477308419494,❌
Ammonia_4,Hydrazine_2,6342.0,0.26726534272571545,❌
HCHO_4,MA_3,5322.5,0.26773309107597887,❌
DM_3,SO2_1,5322.5,0.2677338032919294,❌
TA_2,Cl2_7,5322.5,0.2677343730633377,❌
Arsine_3,HCl_2,5323.0,0.2682036852625891,❌
F2_4,SO2_6,6341.0,0.2682046825859282,❌
MH-6,HNO3_2,5323.0,0.2682048250603901,❌
TA_1,HNO3_3,5323.0,0.2682049675347765,❌
HCHO_5,H2S_5,6341.0,0.26820525248332394,❌
Control_4_2min,Cl2_2,5323.5,0.26867498934340817,❌
Phosphine_2,TA_3,6340.5,0.26867555936800036,❌
NO2_6,HNO3_7,6340.5,0.2686758443798444,❌
Arsine_4,HNO3_1,5324.0,0.2691440102372179,❌
HCN_3,HNO3_1,5324.0,0.2691441527759604,❌
Control_3_2min,F2_4,5324.0,0.26914600577274606,❌
Phosgene_7,DM_3,6340.0,0.26914757368313935,❌
NO2_3,HNO3_5,6340.0,0.26914757368313935,❌
HCl_6,HNO3_6,6340.0,0.269147716219995,❌
Cl2_7,NO2_2,6340.0,0.269147716219995,❌
Phosphine_2,H2S_6,6339.5,0.2696158786946944,❌
HCN_7,HNO3_4,5324.5,0.2696183023696196,❌
MA_4,MH-3,6339.5,0.26961844493805254,❌
Arsine_2,HF_5,6339.0,0.27008959813014766,❌
HCHO_6,Diborane_5,6339.0,0.2700908815248225,❌
F2_2,HCN_2,6339.0,0.2700914519204871,❌
HCl_7,HCN_4,5325.0,0.27009173711786527,❌
Ammonia_4,MH-6,6339.0,0.27009173711786527,❌
SO2_6,HF_1,6339.0,0.2700921649133643,❌
Arsine_1,F2_2,5325.5,0.2705637431765946,❌
Control_6_2min,SO2_3,5325.5,0.27056431369404677,❌
Ammonia_4,HCN_4,5325.5,0.27056502683915584,❌
HCN_2,HF_6,6338.0,0.27103603130444187,❌
Arsine_3,NO2_2,5326.0,0.2710374579033248,❌
MH-4,HF_7,5326.0,0.271038028540751,❌
Phosphine_1,SO2_3,6338.0,0.27103831385900834,❌
Diborane_4,NO2_5,6338.0,0.27103859917696194,❌
Diborane_5,HCl_4,5326.0,0.27103916981195775,❌
Cl2_2,NO2_2,6338.0,0.27103916981195775,❌
Phosgene_2,HCN_4,5326.5,0.2715111698687376,❌
H2S_6,MA_1,6337.5,0.2715115979369077,❌
HCHO_6,Phosgene_5,6337.5,0.27151245407119395,❌
Diborane_6,Cl2_4,5326.5,0.27151302482586315,❌
MH-2,HCN_1,5327.0,0.27198544971212846,❌
Phosgene_1,Hydrazine_1,6337.0,0.2719868769002969,❌
Ammonia_6,SO2_3,5327.0,0.2719875904915243,❌
HCHO_5,HF_6,6337.0,0.27198773320954106,❌
Cl2_2,SO2_4,6336.5,0.27246358075150634,❌
Phosgene_4,H2S_7,6336.0,0.27293842627629605,❌
HCHO_1,MH-1,6336.0,0.2729388546046281,❌
Ammonia_2,HCl_3,5328.0,0.2729394257080012,❌
HCl_6,F2_4,5328.0,0.2729397112592292,❌
Phosgene_4,NO2_3,5328.5,0.27341541065275754,❌
MA_2,SO2_1,5328.5,0.27341541065275754,❌
HCHO_5,MA_1,6335.5,0.27341541065275754,❌
Phosphine_1,HF_7,6335.5,0.2734155534571916,❌
Arsine_2,Cl2_3,5329.0,0.2738909641104268,❌
HCHO_4,HCN_7,5329.5,0.27436694276892093,❌
Ammonia_3,HNO3_6,6334.5,0.2743706571621495,❌
TA_3,HCl_4,5329.5,0.2743709428825557,❌
Arsine_3,MA_4,5330.0,0.27484406111701,❌
Arsine_4,SO2_5,5330.0,0.27484677602176766,❌
H2S_6,F2_1,5330.0,0.2748469189107229,❌
H2S_3,HCN_1,5330.0,0.27484763335434526,❌
Control_5_2min,MA_6,6334.0,0.27484849068415484,❌
NO2_4,SO2_2,6334.0,0.2748489193480217,❌
HCHO_1,MA_2,6334.0,0.2748489193480217,❌
TA_4,Ammonia_2,6334.0,0.2748493480111963,❌
TA_3,NO2_3,5330.0,0.2748493480111963,❌
Diborane_2,H2S_6,6333.0,0.27580414874395565,❌
SO2_3,HCN_3,6333.0,0.27580643583266895,❌
H2S_4,F2_2,5331.0,0.2758065787750579,❌
DM_4,NO2_5,5331.0,0.27580700760176224,❌
Control_1_2min,HCl_1,6333.0,0.27580700760176224,❌
DM_6,Ammonia_2,6333.0,0.2758072934858462,❌
MA_2,Hydrazine_5,6333.0,0.2758072934858462,❌
Control_3_2min,HCN_1,6332.5,0.2762846892908315,❌
MA_3,MH-3,6332.5,0.27628654789424667,❌
HCN_3,HCN_5,5332.0,0.2767662282683838,❌
Diborane_4,H2S_6,6332.0,0.27676680025092104,❌
Phosphine_2,TA_2,5332.0,0.276766943246362,❌
MH-1,HNO3_6,6332.0,0.27676794421228257,❌
MA_7,Ammonia_4,6332.0,0.27676794421228257,❌
MH-7,Hydrazine_1,5332.5,0.2772483369436519,❌
Phosgene_6,DM_5,6331.0,0.2777305862740779,❌
TA_3,HNO3_4,5333.0,0.2777308723672818,❌
Ammonia_4,HNO3_3,5333.0,0.2777308723672818,❌
H2S_7,DM_5,6330.5,0.2782126899855091,❌
Phosgene_5,HCl_4,5333.5,0.2782129761296833,❌
MA_6,HCl_4,5333.5,0.2782129761296833,❌
HCl_3,Hydrazine_4,6330.0,0.27869593567416995,❌
TA_5,SO2_1,6329.5,0.2791784631524469,❌
HCl_1,Cl2_7,5335.0,0.2796631347857741,❌
F2_4,HNO3_3,6329.0,0.279663277932109,❌
H2S_3,HCl_4,5335.0,0.279663277932109,❌
HCl_5,Hydrazine_3,6328.5,0.28014737440194304,❌
H2S_4,HF_1,6328.0,0.28063189756355145,❌
DM_3,MH-7,6328.0,0.2806321839531294,❌
TA_7,HF_2,5336.0,0.2806326135369088,❌
HCHO_1,Ammonia_3,6327.5,0.28111799319106856,❌
Arsine_3,HF_3,5337.0,0.2816015078537931,❌
HF_6,Hydrazine_5,6327.0,0.2816042294547534,❌
Phosgene_1,TA_5,5337.0,0.2816042294547534,❌
Phosgene_7,TA_5,5337.0,0.28160437269612426,❌
MA_7,F2_6,5337.0,0.28160465917863053,❌
H2S_6,F2_2,5337.5,0.2820906062380111,❌
H2S_2,F2_2,5337.5,0.2820906062380111,❌
Phosphine_7,H2S_3,5337.5,0.2820907495025381,❌
H2S_3,Ammonia_7,6326.5,0.28209117929564753,❌
Phosphine_6,HCl_2,5337.5,0.28209132255986014,❌
Cl2_1,F2_6,6326.0,0.28257884287259405,❌
DM_5,HCl_2,5338.0,0.2825789861592566,❌
MA_3,HCl_4,5338.0,0.2825789861592566,❌
HCHO_3,HCN_5,6325.5,0.28306636048709866,❌
HCHO_1,HCl_2,5338.5,0.28306664710540497,❌
DM_3,HNO3_6,6325.5,0.28306679041443983,❌
F2_6,NO2_2,6325.5,0.28306679041443983,❌
Arsine_4,TA_2,5339.0,0.28355315856478225,❌
Arsine_4,SO2_6,6325.0,0.2835535885609055,❌
Ammonia_5,HF_5,5339.0,0.2835554518692289,❌
Phosgene_2,DM_5,6324.5,0.28404382392047034,❌
Phosgene_5,HNO3_7,6324.0,0.2845337701326781,❌
DM_6,HCl_4,5340.0,0.28453420025477205,❌
H2S_6,HF_1,6323.5,0.28502314010800633,❌
DM_6,TA_2,5340.5,0.28502371369001844,❌
Phosgene_1,HCl_4,5340.5,0.28502400048054866,❌
MA_7,NO2_4,5340.5,0.28502414387569497,❌
Arsine_5,Hydrazine_5,6323.5,0.2850242872707619,❌
Phosgene_4,HCl_7,6323.0,0.285514228089332,❌
TA_5,MH-2,6323.0,0.2855145149216207,❌
HCHO_1,MA_3,5341.0,0.2855148017535917,❌
HCl_5,MH-6,6323.0,0.28551494516945797,❌
Cl2_4,NO2_3,6323.0,0.28551523200095286,❌
H2S_4,TA_1,6322.5,0.2860050265412779,❌
SO2_6,HCN_6,5341.5,0.28600545685175893,❌
TA_7,Hydrazine_6,6322.5,0.28600560028842703,❌
NO2_5,Hydrazine_1,6322.5,0.2860057437250155,❌
MA_3,Ammonia_5,6322.5,0.28600646090676574,❌
MH-2,HCN_4,5342.0,0.2864961090065521,❌
Diborane_5,Ammonia_3,6322.0,0.2864978304909698,❌
NO2_5,SO2_3,5342.0,0.2864978304909698,❌
MH-5,MH-7,6322.0,0.2864978304909698,❌
Phosphine_6,MA_3,5342.0,0.28649811740392495,❌
F2_6,HF_3,6322.0,0.2864984043165616,❌
Diborane_7,HCl_4,6322.0,0.2864985477727606,❌
DM_5,NO2_7,5342.0,0.2864985477727606,❌
MH-2,HNO3_5,5342.5,0.286989053699754,❌
F2_1,HCN_2,6321.5,0.28699020151356747,❌
Phosgene_7,Hydrazine_1,6321.5,0.28699020151356747,❌
TA_7,Hydrazine_3,6321.5,0.2869903449899356,❌
F2_5,HNO3_3,6321.5,0.2869907754185612,❌
Ammonia_4,NO2_7,5342.5,0.28699091889461037,❌
TA_4,HNO3_3,5342.5,0.28699091889461037,❌
Ammonia_1,HF_4,5343.0,0.2874825697610125,❌
Phosphine_2,HNO3_4,5343.0,0.2874835742328813,❌
TA_6,MH-1,6321.0,0.2874838612241255,❌
DM_1,HCl_5,5343.0,0.28748400471962776,❌
F2_3,HF_5,6321.0,0.2874841482150502,❌
Phosphine_7,MH-4,6320.5,0.28797680078004084,❌
Control_1_2min,Cl2_5,5343.5,0.28797694429507825,❌
HCHO_4,MA_4,5344.0,0.28846858912940043,❌
TA_1,HCl_2,5344.0,0.2884716033521222,❌
Control_1_2min,HCl_3,6320.0,0.2884716033521222,❌
Arsine_7,HCl_3,6320.0,0.288471746885657,❌
Arsine_6,HF_1,5344.5,0.2889651113687908,❌
TA_3,SO2_4,5344.5,0.288966403340698,❌
Cl2_7,SO2_4,6319.5,0.2889666904446849,❌
HF_7,Hydrazine_3,6319.0,0.28946062631449865,❌
Diborane_6,HF_7,6319.0,0.28946062631449865,❌
F2_3,HCN_7,6319.0,0.28946120059743663,❌
HCHO_7,H2S_3,6319.0,0.28946120059743663,❌
HCHO_1,NO2_1,5345.0,0.28946148773842406,❌
HCHO_1,MA_4,5345.0,0.28946163130879743,❌
H2S_1,HF_1,6319.0,0.2894617748790903,❌
Cl2_5,NO2_2,6319.0,0.2894622055894882,❌
Control_4_2min,Cl2_7,5345.5,0.28995685650955627,❌
Control_1_2min,SO2_4,6318.5,0.2899572872749798,❌
HCl_6,Hydrazine_2,6318.5,0.289958005215745,❌
HCl_3,F2_7,5346.0,0.29045408928788274,❌
HCl_5,F2_6,5346.0,0.2904546637101718,❌
HCHO_4,HCl_2,5346.5,0.29095045777192796,❌
F2_3,HCN_1,6317.5,0.29095088864163265,❌
Ammonia_6,HCl_4,5346.5,0.2909514631334442,❌
Control_3_2min,H2S_1,6317.0,0.29144696699464734,❌
HCN_3,HCN_6,5347.0,0.29144725427628726,❌
HCN_3,HF_6,6317.0,0.29144754155760455,❌
TA_2,Cl2_5,5347.0,0.2914488343195373,❌
